1 5 BEFAB
108 21 CBAEFDBAEFCABDCABEFAB
109 NO SOLUTION
110 NO SOLUTION
111 NO SOLUTION
112 NO SOLUTION
113 16 FBECDABECDFEBAFE
114 NO SOLUTION
115 19 FAEDBCAFBDEFACDEFAB
116 NO SOLUTION
117 NO SOLUTION
118 NO SOLUTION
119 NO SOLUTION
120 NO SOLUTION
121 NO SOLUTION
122 NO SOLUTION
123 NO SOLUTION
124 24 FDCEFDABFECABFEDBACDEFAB
125 NO SOLUTION
126 NO SOLUTION
127 NO SOLUTION
128 NO SOLUTION
129 NO SOLUTION
130 NO SOLUTION
131 21 FEDBCAEDBCFDEAFDEBCDE
132 NO SOLUTION
133 NO SOLUTION
134 NO SOLUTION
135 16 DECABFEDBACDEFAB
136 NO SOLUTION
137 NO SOLUTION
138 NO SOLUTION
139 NO SOLUTION
140 21 FCDAFCEBFADEBFACBEDCB
141 NO SOLUTION
142 NO SOLUTION
143 NO SOLUTION
144 NO SOLUTION
145 NO SOLUTION
146 NO SOLUTION
147 NO SOLUTION
148 NO SOLUTION
149 19 AEFCDBEFCDBEFABEFAB
150 NO SOLUTION
151 NO SOLUTION
152 NO SOLUTION
153 NO SOLUTION
154 18 AFDEAFBCAFBCAFEDCB
155 NO SOLUTION
156 NO SOLUTION
157 NO SOLUTION
158 NO SOLUTION
159 NO SOLUTION
160 24 CBDFEABDFECDBACDBACDEFAB
161 NO SOLUTION
162 NO SOLUTION
163 NO SOLUTION
164 NO SOLUTION
165 NO SOLUTION
166 NO SOLUTION
167 NO SOLUTION
168 8 EFDCBAFE
169 NO SOLUTION
170 NO SOLUTION
171 19 ADECBFDECBAEDFABCDE
172 NO SOLUTION
173 NO SOLUTION
174 NO SOLUTION
175 19 CBEDCBFACDEFACDEFAB
176 NO SOLUTION
177 NO SOLUTION
178 NO SOLUTION
179 NO SOLUTION
180 NO SOLUTION
181 13 DBFEDBACDEFAB
182 NO SOLUTION
183 NO SOLUTION
184 NO SOLUTION
185 NO SOLUTION
186 NO SOLUTION
187 NO SOLUTION
188 NO SOLUTION
189 NO SOLUTION
190 NO SOLUTION
191 16 DBEAFCBEAFDEBCDE
192 NO SOLUTION
193 NO SOLUTION
194 16 FAEDBCAFBCAFEDCB
195 NO SOLUTION
196 NO SOLUTION
197 NO SOLUTION
198 NO SOLUTION
199 NO SOLUTION
200 NO SOLUTION
201 NO SOLUTION
202 NO SOLUTION
203 NO SOLUTION
204 13 CEFDCEFDCBAFE
205 NO SOLUTION
206 NO SOLUTION
207 NO SOLUTION
208 NO SOLUTION
209 NO SOLUTION
210 21 DCBEAFCDAFCDBEFABEFAB
211 NO SOLUTION
212 NO SOLUTION
213 NO SOLUTION
214 5 EBAFE
215 NO SOLUTION
216 NO SOLUTION
217 18 EDACEDBFEDBACDEFAB
218 NO SOLUTION
219 NO SOLUTION
220 NO SOLUTION
221 NO SOLUTION
222 NO SOLUTION
223 NO SOLUTION
224 NO SOLUTION
225 16 ADBEFCDBEFABEFAB
226 NO SOLUTION
227 NO SOLUTION
228 NO SOLUTION
229 NO SOLUTION
230 NO SOLUTION
231 16 CEBFADEBFACBEDCB
232 NO SOLUTION
233 NO SOLUTION
234 NO SOLUTION
235 NO SOLUTION
236 21 EACFEADBEFCDBEFABEFAB
237 NO SOLUTION
238 NO SOLUTION
239 NO SOLUTION
240 NO SOLUTION
241 NO SOLUTION
242 NO SOLUTION
243 NO SOLUTION
244 NO SOLUTION
245 13 FBCAFBCAFEDCB
246 NO SOLUTION
247 NO SOLUTION
248 NO SOLUTION
249 NO SOLUTION
250 10 FECDFEBAFE
251 NO SOLUTION
252 NO SOLUTION
253 NO SOLUTION
254 NO SOLUTION
255 NO SOLUTION
256 NO SOLUTION
257 24 ACEDACBFACBFACDEFACDEFAB
258 NO SOLUTION
259 13 ACFEBDCABEFAB
260 NO SOLUTION
261 NO SOLUTION
262 NO SOLUTION
263 NO SOLUTION
264 NO SOLUTION
265 NO SOLUTION
266 NO SOLUTION
267 NO SOLUTION
268 16 AEDFAECBAFDCBAFE
269 NO SOLUTION
270 NO SOLUTION
271 NO SOLUTION
272 NO SOLUTION
273 NO SOLUTION
274 NO SOLUTION
275 21 AFEBDCFADCFAEBCDEBCDE
276 NO SOLUTION
277 NO SOLUTION
278 NO SOLUTION
279 NO SOLUTION
280 NO SOLUTION
281 NO SOLUTION
282 26 EFABEFDCEFDCEFBACDBACDEFAB
283 NO SOLUTION
284 NO SOLUTION
285 NO SOLUTION
286 8 BCAFEDCB
287 NO SOLUTION
288 NO SOLUTION
289 21 DAEBDAEBDCFEBDCABEFAB
290 NO SOLUTION
291 NO SOLUTION
292 NO SOLUTION
293 NO SOLUTION
294 NO SOLUTION
295 NO SOLUTION
296 NO SOLUTION
297 21 AECBFDEAFBCAFBCAFEDCB
298 NO SOLUTION
299 NO SOLUTION
300 NO SOLUTION
301 NO SOLUTION
302 19 FECDFECDFABCDFABCDE
303 NO SOLUTION
304 NO SOLUTION
305 NO SOLUTION
306 NO SOLUTION
307 NO SOLUTION
308 NO SOLUTION
309 16 AEBDCFEBDCABEFAB
310 NO SOLUTION
311 NO SOLUTION
312 NO SOLUTION
313 NO SOLUTION
314 NO SOLUTION
315 NO SOLUTION
316 NO SOLUTION
317 NO SOLUTION
318 11 BFEDCAFEDCB
319 NO SOLUTION
320 14 EAFDCBAFDCBAFE
321 NO SOLUTION
322 NO SOLUTION
323 NO SOLUTION
324 NO SOLUTION
325 NO SOLUTION
326 NO SOLUTION
327 18 EADBEACFEBDCABEFAB
328 NO SOLUTION
329 NO SOLUTION
330 NO SOLUTION
331 NO SOLUTION
332 21 FDCEFDCEFBACDBACDEFAB
333 NO SOLUTION
334 NO SOLUTION
335 NO SOLUTION
336 NO SOLUTION
337 NO SOLUTION
338 NO SOLUTION
339 NO SOLUTION
340 NO SOLUTION
341 11 ECBAFDCBAFE
342 NO SOLUTION
343 NO SOLUTION
344 NO SOLUTION
345 NO SOLUTION
346 16 DBFEDBFEDCAFEDCB
347 NO SOLUTION
348 NO SOLUTION
349 NO SOLUTION
350 NO SOLUTION
351 NO SOLUTION
352 NO SOLUTION
353 NO SOLUTION
354 19 DBCFAEBCFAEBCDEBCDE
355 NO SOLUTION
356 NO SOLUTION
357 NO SOLUTION
358 13 FBDEFBCAFEDCB
359 NO SOLUTION
360 NO SOLUTION
361 16 FCEBADCEBAFEBAFE
362 NO SOLUTION
363 NO SOLUTION
364 NO SOLUTION
365 NO SOLUTION
366 NO SOLUTION
367 NO SOLUTION
368 NO SOLUTION
369 18 FCDAFCDAFBEDCBEDCB
370 NO SOLUTION
371 NO SOLUTION
372 NO SOLUTION
373 NO SOLUTION
374 NO SOLUTION
375 NO SOLUTION
376 19 ADCFEBDCFEBDCABEFAB
377 NO SOLUTION
378 NO SOLUTION
379 NO SOLUTION
380 NO SOLUTION
381 NO SOLUTION
382 NO SOLUTION
383 NO SOLUTION
384 21 EFCAEFBDEFBDEFACDEFAB
385 NO SOLUTION
386 NO SOLUTION
387 18 ADFBCEDACBFACBEDCB
388 NO SOLUTION
389 NO SOLUTION
390 NO SOLUTION
391 16 AFBCEDFAEDFABCDE
392 NO SOLUTION
393 NO SOLUTION
394 NO SOLUTION
395 NO SOLUTION
396 NO SOLUTION
397 NO SOLUTION
398 NO SOLUTION
399 21 CEABDFECDBACDBACDEFAB
400 NO SOLUTION
401 NO SOLUTION
402 NO SOLUTION
403 NO SOLUTION
404 18 FACBFAEDFAEDFABCDE
405 NO SOLUTION
406 NO SOLUTION
407 NO SOLUTION
408 NO SOLUTION
409 NO SOLUTION
410 NO SOLUTION
411 NO SOLUTION
412 NO SOLUTION
413 14 BDCAFEDCAFEDCB
414 NO SOLUTION
415 NO SOLUTION
416 NO SOLUTION
417 NO SOLUTION
418 21 EADBEADBEFCDBEFABEFAB
419 NO SOLUTION
420 NO SOLUTION
421 NO SOLUTION
422 NO SOLUTION
423 NO SOLUTION
424 NO SOLUTION
425 21 CAFBCAFBCEDFAEDFABCDE
426 NO SOLUTION
427 18 CDFECDBACDBACDEFAB
428 NO SOLUTION
429 NO SOLUTION
430 NO SOLUTION
431 NO SOLUTION
432 NO SOLUTION
433 NO SOLUTION
434 NO SOLUTION
435 NO SOLUTION
436 13 CDAFBEDCBEDCB
437 NO SOLUTION
438 NO SOLUTION
439 NO SOLUTION
440 NO SOLUTION
441 NO SOLUTION
442 NO SOLUTION
443 16 CDBAEFDCEFDCBAFE
444 NO SOLUTION
445 NO SOLUTION
446 NO SOLUTION
447 NO SOLUTION
448 16 FBDEFBDEFACDEFAB
449 NO SOLUTION
450 NO SOLUTION
451 NO SOLUTION
452 NO SOLUTION
453 NO SOLUTION
454 NO SOLUTION
455 NO SOLUTION
456 16 CFBEDAFBEDCBEDCB
457 NO SOLUTION
458 NO SOLUTION
459 21 AFDEAFBCAFBDEFACDEFAB
460 NO SOLUTION
461 NO SOLUTION
462 NO SOLUTION
463 17 BCDEFACDEFACDEFAB
464 NO SOLUTION
465 NO SOLUTION
466 NO SOLUTION
467 NO SOLUTION
468 NO SOLUTION
469 NO SOLUTION
470 14 ECDFABCDFABCDE
471 NO SOLUTION
472 NO SOLUTION
473 NO SOLUTION
474 NO SOLUTION
475 NO SOLUTION
476 NO SOLUTION
477 13 AEDFAEDFABCDE
478 NO SOLUTION
479 NO SOLUTION
480 NO SOLUTION
481 NO SOLUTION
482 NO SOLUTION
483 NO SOLUTION
484 NO SOLUTION
485 NO SOLUTION
486 18 FCEBFCDAFBEDCBEDCB
487 NO SOLUTION
488 19 FEACBDEFBDEFACDEFAB
489 NO SOLUTION
490 NO SOLUTION
491 NO SOLUTION
492 NO SOLUTION
493 NO SOLUTION
494 NO SOLUTION
495 19 CDBAEFDCEABCDFABCDE
496 NO SOLUTION
497 NO SOLUTION
498 NO SOLUTION
499 NO SOLUTION
500 16 FBCAFBDEFACDEFAB
501 NO SOLUTION
502 NO SOLUTION
503 NO SOLUTION
504 NO SOLUTION
505 NO SOLUTION
506 NO SOLUTION
507 NO SOLUTION
508 NO SOLUTION
509 16 AECBAECBAFDCBAFE
510 NO SOLUTION
511 NO SOLUTION
512 NO SOLUTION
513 NO SOLUTION
514 13 AFCDBEFABEFAB
515 NO SOLUTION
516 NO SOLUTION
517 NO SOLUTION
518 NO SOLUTION
519 NO SOLUTION
520 21 FDABFDCEFBACDBACDEFAB
521 NO SOLUTION
522 NO SOLUTION
523 NO SOLUTION
524 NO SOLUTION
525 NO SOLUTION
526 NO SOLUTION
527 NO SOLUTION
528 13 DFCBEAFDEBCDE
529 NO SOLUTION
530 NO SOLUTION
531 24 ACDBACDBAEFDCEABCDFABCDE
532 NO SOLUTION
533 NO SOLUTION
534 NO SOLUTION
535 14 BFACDEFACDEFAB
536 NO SOLUTION
537 NO SOLUTION
538 NO SOLUTION
539 NO SOLUTION
540 NO SOLUTION
541 16 CEFDCEABCDFABCDE
542 NO SOLUTION
543 NO SOLUTION
544 NO SOLUTION
545 NO SOLUTION
546 NO SOLUTION
547 NO SOLUTION
548 NO SOLUTION
549 NO SOLUTION
550 NO SOLUTION
551 19 CBFACBFACDEFACDEFAB
552 NO SOLUTION
553 NO SOLUTION
554 13 FADCEBAFEBAFE
555 NO SOLUTION
556 NO SOLUTION
557 NO SOLUTION
558 NO SOLUTION
559 NO SOLUTION
560 NO SOLUTION
561 NO SOLUTION
562 NO SOLUTION
563 NO SOLUTION
564 18 CFDBAEFCABDCABEFAB
565 NO SOLUTION
566 NO SOLUTION
567 NO SOLUTION
568 NO SOLUTION
569 NO SOLUTION
570 18 DAFCDAFCDBEFABEFAB
571 NO SOLUTION
572 NO SOLUTION
573 NO SOLUTION
574 10 DEAFDEBCDE
575 NO SOLUTION
576 NO SOLUTION
577 21 DCABDCEFDCEABCDFABCDE
578 NO SOLUTION
579 NO SOLUTION
580 NO SOLUTION
581 NO SOLUTION
582 NO SOLUTION
583 NO SOLUTION
584 NO SOLUTION
585 19 DFBACEFBACDBACDEFAB
586 NO SOLUTION
587 NO SOLUTION
588 NO SOLUTION
589 NO SOLUTION
590 NO SOLUTION
591 11 BDEFACDEFAB
592 NO SOLUTION
593 NO SOLUTION
594 NO SOLUTION
595 NO SOLUTION
596 16 DCEFBACDBACDEFAB
597 NO SOLUTION
598 NO SOLUTION
599 NO SOLUTION
600 NO SOLUTION
601 NO SOLUTION
602 NO SOLUTION
603 NO SOLUTION
604 NO SOLUTION
605 10 ABEFABEFAB
606 NO SOLUTION
607 NO SOLUTION
608 NO SOLUTION
609 NO SOLUTION
610 15 CAEFCABDCABEFAB
611 NO SOLUTION
612 NO SOLUTION
613 NO SOLUTION
614 8 EDFABCDE
615 NO SOLUTION
616 NO SOLUTION
617 NO SOLUTION
618 NO SOLUTION
619 NO SOLUTION
620 NO SOLUTION
621 5 BEFAB
622 NO SOLUTION
623 NO SOLUTION
624 NO SOLUTION
625 NO SOLUTION
626 NO SOLUTION
627 NO SOLUTION
628 NO SOLUTION
629 NO SOLUTION
630 10 CBFACBEDCB
631 NO SOLUTION
632 13 DCFAEBCDEBCDE
633 NO SOLUTION
634 NO SOLUTION
635 NO SOLUTION
636 NO SOLUTION
637 8 BACDEFAB
638 NO SOLUTION
639 NO SOLUTION
640 NO SOLUTION
641 NO SOLUTION
642 NO SOLUTION
643 NO SOLUTION
644 NO SOLUTION
645 NO SOLUTION
646 NO SOLUTION
647 13 AECBAEDFABCDE
648 NO SOLUTION
649 NO SOLUTION
650 21 ECFBDACEDBFEDBACDEFAB
651 NO SOLUTION
652 NO SOLUTION
653 NO SOLUTION
654 NO SOLUTION
655 NO SOLUTION
656 NO SOLUTION
657 NO SOLUTION
658 NO SOLUTION
659 NO SOLUTION
660 24 CAFBCADECBFDECBAEDFABCDE
661 NO SOLUTION
662 NO SOLUTION
663 NO SOLUTION
664 13 CADEBFACBEDCB
665 NO SOLUTION
666 NO SOLUTION
667 NO SOLUTION
668 NO SOLUTION
669 NO SOLUTION
670 NO SOLUTION
671 NO SOLUTION
672 21 DAFCDAEBDCFEBDCABEFAB
673 NO SOLUTION
674 NO SOLUTION
675 10 ABDCABEFAB
676 NO SOLUTION
677 NO SOLUTION
678 NO SOLUTION
679 16 CEABCEABCDFABCDE
680 NO SOLUTION
681 NO SOLUTION
682 NO SOLUTION
683 NO SOLUTION
684 NO SOLUTION
685 NO SOLUTION
686 NO SOLUTION
687 NO SOLUTION
688 NO SOLUTION
689 16 DAEBCFAEBCDEBCDE
690 NO SOLUTION
691 13 DBACDBACDEFAB
692 NO SOLUTION
693 NO SOLUTION
694 NO SOLUTION
695 NO SOLUTION
696 NO SOLUTION
697 NO SOLUTION
698 NO SOLUTION
699 NO SOLUTION
700 24 DFAEDFAEDBCAFBDEFACDEFAB
701 NO SOLUTION
702 NO SOLUTION
703 NO SOLUTION
704 NO SOLUTION
705 NO SOLUTION
706 NO SOLUTION
707 15 ACEDACBFACBEDCB
708 NO SOLUTION
709 11 EABCDFABCDE
710 NO SOLUTION
711 NO SOLUTION
712 NO SOLUTION
713 NO SOLUTION
714 NO SOLUTION
715 NO SOLUTION
716 NO SOLUTION
717 NO SOLUTION
718 NO SOLUTION
719 18 EFCAEFBDEFBCAFEDCB
720 NO SOLUTION
721 NO SOLUTION
722 18 ECADECADEBFACBEDCB
723 NO SOLUTION
724 NO SOLUTION
725 NO SOLUTION
726 NO SOLUTION
727 NO SOLUTION
728 NO SOLUTION
729 NO SOLUTION
730 NO SOLUTION
731 NO SOLUTION
732 29 EDCBEDFAEDFAEDBCAFBDEFACDEFAB
