1 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
153 6 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
154 6 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
155 6 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
156 6 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
157 6 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
158 6 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
159 6 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
160 6 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
161 6 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
162 6 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
163 6 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
164 6 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
165 6 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
166 6 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
167 6 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
168 6 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
169 6 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
170 6 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
171 6 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
172 6 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
173 6 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
174 6 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
175 7 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
176 7 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
177 7 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
178 7 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
179 7 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
180 7 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
181 7 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
182 7 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
183 7 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
184 7 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
185 7 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
186 7 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
187 7 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
188 7 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
189 7 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
190 7 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
191 7 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
192 7 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
193 7 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
194 7 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
195 7 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
196 7 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
197 7 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
198 7 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
199 7 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
200 8 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
201 8 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
202 8 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
203 8 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
204 8 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
205 8 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
206 8 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
207 8 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
208 8 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
209 8 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
210 8 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
211 8 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
212 8 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
213 8 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
214 8 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
215 8 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
216 8 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
217 8 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
218 8 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
219 8 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
220 8 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
221 8 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
222 8 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
223 8 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
224 8 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
225 9 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
226 9 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
227 9 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
228 9 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
229 9 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
230 9 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
231 9 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
232 9 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
233 9 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
234 9 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
235 9 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
236 9 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
237 9 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
238 9 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
239 9 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
240 9 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
241 9 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
242 9 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
243 9 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
244 9 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
245 9 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
246 9 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
247 9 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
248 9 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
249 9 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
250 10 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
251 10 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
252 10 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
253 10 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
254 10 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
255 10 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
256 10 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
257 10 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
258 10 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
259 10 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
260 10 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
261 10 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
262 10 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
263 10 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
264 10 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
265 10 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
266 10 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
267 10 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
268 10 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
269 10 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
270 10 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
271 10 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
272 10 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
273 10 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
274 10 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
275 11 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
276 11 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
277 11 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
278 11 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
279 11 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
280 11 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
281 11 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
282 11 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
283 11 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
284 11 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
285 11 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
286 11 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
287 11 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
288 11 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
289 11 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
290 11 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
291 11 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
292 11 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
293 11 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
294 11 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
295 11 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
296 11 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
297 11 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
298 11 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
299 11 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
300 12 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
301 12 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
302 12 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
303 12 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
304 12 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
305 12 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
306 12 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
307 12 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
308 12 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
309 12 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
310 12 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
311 12 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
312 12 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
313 12 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
314 12 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
315 12 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
316 12 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
317 12 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
318 12 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
319 12 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
320 12 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
321 12 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
322 12 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
323 12 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
324 12 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
